Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
But siyempre gusto ko rin siyang makatrabaho sa telebisyon,But siyempre gusto ko rin siyang makatrabaho sa telebisyon,,,
Minsan kailangan mo rin talaga ibalance,Minsan kailangan mo rin talaga ibalance,,,
Sabi ni Phil,Sabi ni Phil,,,
Mabigat ang pakiramdam,Mabigat ang pakiramdam,,,
Bilyon na ikinokonsiderang pinakamalaking huli ng Taklobo sa nasabing lalawigan,Bilyon na ikinokonsiderang pinakamalaking huli ng Taklobo sa nasabing lalawigan,,,
Tapos sabi ko Weh,Tapos sabi ko Weh,,,
Dito maaari daw nilang iulat ang mga isyung kanilang nararanasan,Dito maaari daw nilang iulat ang mga isyung kanilang nararanasan,,,
Naku ang sarap pagsamahin sa isang show nina AiAi Eugene at Pokwang huh,Naku ang sarap pagsamahin sa isang show nina AiAi Eugene at Pokwang huh,,,
Sadya akong pinagpala kase baka nakakatulong yung may natutulungan din,Sadya akong pinagpala kase baka nakakatulong yung may natutulungan din,,,
Ang negosyo umano ng mga biktima ay online seller ng motorcycle accessories,Ang negosyo umano ng mga biktima ay online seller ng motorcycle accessories,,,
“May mga tao na talagang ginamit si Lord natuloy siya,“May mga tao na talagang ginamit si Lord natuloy siya,,,
Pero naging senti bigla si Janine na hindi niya napigilang maluha,Pero naging senti bigla si Janine na hindi niya napigilang maluha,,,
Nagkatawanan sina Mr,Nagkatawanan sina Mr,,,
Hawak ng St,Hawak ng St,,,
Hindi pa rin malinaw kung maglalaro si Jaja Santiago sa AllFilipino Conference,Hindi pa rin malinaw kung maglalaro si Jaja Santiago sa AllFilipino Conference,,,
Itutuloy ko po ang aking suporta para sayo sabi ni Ina,Itutuloy ko po ang aking suporta para sayo sabi ni Ina,,,
Ang bongga ng timing ng promo,Ang bongga ng timing ng promo,,,
Nang maalis umano ng driver ang kaniyang paa sa preno umarangkada ang sasakyan,Nang maalis umano ng driver ang kaniyang paa sa preno umarangkada ang sasakyan,,,
Napapasaya niya ako,Napapasaya niya ako,,,
Totoo yon anang aktor,Totoo yon anang aktor,,,
Minsan e binati niya ang veteran actress shock siyempre ang lolah,Minsan e binati niya ang veteran actress shock siyempre ang lolah,,,
Nakatakdang ilibing bukas Miyerkules si Susan Roces sa North Cemetery,Nakatakdang ilibing bukas Miyerkules si Susan Roces sa North Cemetery,,,
Tanong ni Arra,Tanong ni Arra,,,
Lumaban ka lang,Lumaban ka lang,,,
Hindi ko pa alam ‘yung identity no’ng guy pero boyfriend na raw niya,Hindi ko pa alam ‘yung identity no’ng guy pero boyfriend na raw niya,,,
“Siguro yung aktingan kailangan ko pang pagaralan ng konti yan,“Siguro yung aktingan kailangan ko pang pagaralan ng konti yan,,,
Sinabi ni HER,Sinabi ni HER,,,
Mas gusto raw nila ang aktres na simple lang at hindi masyadong pasosyal,Mas gusto raw nila ang aktres na simple lang at hindi masyadong pasosyal,,,
Sey ng dalaga,Sey ng dalaga,,,
Naku ang sarap pagsamahin sa isang show nina AiAi Eugene at Pokwang huh,Naku ang sarap pagsamahin sa isang show nina AiAi Eugene at Pokwang huh,,,
Nakikipagugnayan naman daw ang pulisiya sa militar para siguruhing ligtas ang bansa,Nakikipagugnayan naman daw ang pulisiya sa militar para siguruhing ligtas ang bansa,,,
Need po nila yan na makareceive ng love sa ating lahat sabi niya,Need po nila yan na makareceive ng love sa ating lahat sabi niya,,,
Eh kinuha ko yong tao hindi naman yan nagapply ako ang kumuha,Eh kinuha ko yong tao hindi naman yan nagapply ako ang kumuha,,,
May sakay na tatlong pasahero ang biktima kung saan dalawa ang nawawala ngayon,May sakay na tatlong pasahero ang biktima kung saan dalawa ang nawawala ngayon,,,
Pangtapat sa braso ko,Pangtapat sa braso ko,,,
Wala pa kasing balita kung meron silang gagawin sa Kapamilya channel,Wala pa kasing balita kung meron silang gagawin sa Kapamilya channel,,,
Naniniwala si Sen,Naniniwala si Sen,,,
Pag wala yan hindi ako nakakatulog dito lang yan siya pag gabi aniya,Pag wala yan hindi ako nakakatulog dito lang yan siya pag gabi aniya,,,
Nakalulungkot na marami sa ating mga kababayan ang namatay dahil sa bagyong Paeng,Nakalulungkot na marami sa ating mga kababayan ang namatay dahil sa bagyong Paeng,,,
